6d6 roll	frequency
111111	1
111112	6
111113	6
111114	6
111115	6
111116	6
111122	15
111123	30
111124	30
111125	30
111126	30
111133	15
111134	30
111135	30
111136	30
111144	15
111145	30
111146	30
111155	15
111156	30
111166	15
111222	20
111223	60
111224	60
111225	60
111226	60
111233	60
111234	120
111235	120
111236	120
111244	60
111245	120
111246	120
111255	60
111256	120
111266	60
111333	20
111334	60
111335	60
111336	60
111344	60
111345	120
111346	120
111355	60
111356	120
111366	60
111444	20
111445	60
111446	60
111455	60
111456	120
111466	60
111555	20
111556	60
111566	60
111666	20
112222	15
112223	60
112224	60
112225	60
112226	60
112233	90
112234	180
112235	180
112236	180
112244	90
112245	180
112246	180
112255	90
112256	180
112266	90
112333	60
112334	180
112335	180
112336	180
112344	180
112345	360
112346	360
112355	180
112356	360
112366	180
112444	60
112445	180
112446	180
112455	180
112456	360
112466	180
112555	60
112556	180
112566	180
112666	60
113333	15
113334	60
113335	60
113336	60
113344	90
113345	180
113346	180
113355	90
113356	180
113366	90
113444	60
113445	180
113446	180
113455	180
113456	360
113466	180
113555	60
113556	180
113566	180
113666	60
114444	15
114445	60
114446	60
114455	90
114456	180
114466	90
114555	60
114556	180
114566	180
114666	60
115555	15
115556	60
115566	90
115666	60
116666	15
122222	6
122223	30
122224	30
122225	30
122226	30
122233	60
122234	120
122235	120
122236	120
122244	60
122245	120
122246	120
122255	60
122256	120
122266	60
122333	60
122334	180
122335	180
122336	180
122344	180
122345	360
122346	360
122355	180
122356	360
122366	180
122444	60
122445	180
122446	180
122455	180
122456	360
122466	180
122555	60
122556	180
122566	180
122666	60
123333	30
123334	120
123335	120
123336	120
123344	180
123345	360
123346	360
123355	180
123356	360
123366	180
123444	120
123445	360
123446	360
123455	360
123456	720
123466	360
123555	120
123556	360
123566	360
123666	120
124444	30
124445	120
124446	120
124455	180
124456	360
124466	180
124555	120
124556	360
124566	360
124666	120
125555	30
125556	120
125566	180
125666	120
126666	30
133333	6
133334	30
133335	30
133336	30
133344	60
133345	120
133346	120
133355	60
133356	120
133366	60
133444	60
133445	180
133446	180
133455	180
133456	360
133466	180
133555	60
133556	180
133566	180
133666	60
134444	30
134445	120
134446	120
134455	180
134456	360
134466	180
134555	120
134556	360
134566	360
134666	120
135555	30
135556	120
135566	180
135666	120
136666	30
144444	6
144445	30
144446	30
144455	60
144456	120
144466	60
144555	60
144556	180
144566	180
144666	60
145555	30
145556	120
145566	180
145666	120
146666	30
155555	6
155556	30
155566	60
155666	60
156666	30
166666	6
222222	1
222223	6
222224	6
222225	6
222226	6
222233	15
222234	30
222235	30
222236	30
222244	15
222245	30
222246	30
222255	15
222256	30
222266	15
222333	20
222334	60
222335	60
222336	60
222344	60
222345	120
222346	120
222355	60
222356	120
222366	60
222444	20
222445	60
222446	60
222455	60
222456	120
222466	60
222555	20
222556	60
222566	60
222666	20
223333	15
223334	60
223335	60
223336	60
223344	90
223345	180
223346	180
223355	90
223356	180
223366	90
223444	60
223445	180
223446	180
223455	180
223456	360
223466	180
223555	60
223556	180
223566	180
223666	60
224444	15
224445	60
224446	60
224455	90
224456	180
224466	90
224555	60
224556	180
224566	180
224666	60
225555	15
225556	60
225566	90
225666	60
226666	15
233333	6
233334	30
233335	30
233336	30
233344	60
233345	120
233346	120
233355	60
233356	120
233366	60
233444	60
233445	180
233446	180
233455	180
233456	360
233466	180
233555	60
233556	180
233566	180
233666	60
234444	30
234445	120
234446	120
234455	180
234456	360
234466	180
234555	120
234556	360
234566	360
234666	120
235555	30
235556	120
235566	180
235666	120
236666	30
244444	6
244445	30
244446	30
244455	60
244456	120
244466	60
244555	60
244556	180
244566	180
244666	60
245555	30
245556	120
245566	180
245666	120
246666	30
255555	6
255556	30
255566	60
255666	60
256666	30
266666	6
333333	1
333334	6
333335	6
333336	6
333344	15
333345	30
333346	30
333355	15
333356	30
333366	15
333444	20
333445	60
333446	60
333455	60
333456	120
333466	60
333555	20
333556	60
333566	60
333666	20
334444	15
334445	60
334446	60
334455	90
334456	180
334466	90
334555	60
334556	180
334566	180
334666	60
335555	15
335556	60
335566	90
335666	60
336666	15
344444	6
344445	30
344446	30
344455	60
344456	120
344466	60
344555	60
344556	180
344566	180
344666	60
345555	30
345556	120
345566	180
345666	120
346666	30
355555	6
355556	30
355566	60
355666	60
356666	30
366666	6
444444	1
444445	6
444446	6
444455	15
444456	30
444466	15
444555	20
444556	60
444566	60
444666	20
445555	15
445556	60
445566	90
445666	60
446666	15
455555	6
455556	30
455566	60
455666	60
456666	30
466666	6
555555	1
555556	6
555566	15
555666	20
556666	15
566666	6
666666	1
