Chances of getting no points:

num dice   percent
------------------
1          66.67%
2          44.44%
3          27.78%
4          15.74%
5          7.72%
6          2.31%


roll	frequency
2	1
3	1
4	1
6	1

22	1
33	1
44	1
66	1
23	2
24	2
26	2
34	2
36	2
46	2

223	3
224	3
226	3
233	3
244	3
266	3
334	3
336	3
344	3
366	3
446	3
466	3
234	6
236	6
246	6
346	6

2233	6
2244	6
2266	6
3344	6
3366	6
4466	6
2234	12
2236	12
2246	12
2334	12
2336	12
2344	12
2366	12
2446	12
2466	12
3346	12
3446	12
3466	12
2346	24

22334	30
22336	30
22344	30
22366	30
22446	30
22466	30
23344	30
23366	30
24466	30
33446	30
33466	30
34466	30
22346	60
23346	60
23446	60
23466	60

223346	180
223446	180
223466	180
233446	180
233466	180
234466	180
